Zip.Code,Population
12159,"7,845"
13732,"7,796"
12198,"7,772"
10547,"7,737"
11516,"7,670"
12204,"7,628"
14903,"7,584"
11705,"7,565"
14464,"7,555"
10533,"7,551"
14470,"7,548"
14141,"7,497"
11557,"7,480"
14428,"7,439"
11963,"7,430"
14589,"7,426"
14209,"7,410"
12983,"7,371"
10994,"7,326"
12018,"7,324"
12570,"7,322"
14085,"7,306"
11933,"7,302"
11507,"7,286"
13403,"7,258"
13029,"7,243"
10607,"7,194"
13077,"7,135"
14886,"7,130"
14414,"7,101"
10507,"7,068"
10590,"7,060"
10007,"7,023"
12428,"7,022"
12564,"6,995"
11363,"6,952"
14489,"6,923"
12184,"6,871"
12158,"6,852"
14070,"6,847"
12077,"6,823"
14514,"6,821"
14779,"6,785"
11709,"6,708"
13135,"6,689"
10996,"6,673"
14068,"6,632"
12754,"6,608"
13202,"6,581"
12832,"6,569"
13073,"6,475"
12051,"6,421"
13339,"6,396"
12721,"6,394"
10577,"6,373"
11560,"6,365"
13142,"6,338"
14047,"6,298"
14432,"6,297"
12834,"6,286"
12582,"6,272"
11971,"6,235"
14706,"6,189"
13316,"6,179"
12222,"6,153"
13902,"6,149"
13211,"6,145"
12090,"6,139"
13865,"6,135"
12822,"6,123"
13114,"6,120"
12307,"6,115"
11786,"6,111"
11721,"6,086"
14108,"6,082"
12986 and 14469,"6,071"
14568,"6,065"
13108,"6,050"
12186,"6,047"
13346,"6,045"
13118,"6,039"
12972,"6,034"
13856,"6,009"
12518,"5,988"
11109,"5,981"
14569,"5,915"
14487,"5,910"
12962,"5,831"
13309,"5,823"
14303,"5,805"
14132,"5,792"
14837,"5,779"
13753,"5,777"
14261,"5,736"
11020,"5,728"
13624,"5,715"
10506,"5,693"
10913,"5,610"
11980,"5,604"
10282,"5,593"
13326,"5,584"
13166,"5,572"
10502,"5,567"
13778,"5,557"
14867,"5,548"
10516,"5,542"
12542,"5,537"
12123,"5,492"
14174,"5,475"
10993,"5,433"
14551,"5,426"
14590,"5,412"
12025 and 11940,"5,404"
14801,"5,379"
13159,"5,348"
14009,"5,341"
14067,"5,328"
14530,"5,317"
10962,"5,314"
14727,"5,225"
10594,"5,215"
11579,"5,209"
13830,"5,196"
13068,"5,160"
13407,"5,155"
10069,"5,085"
12170,"5,061"
12305,"5,059"
14131,"5,039"
12498,"5,005"
13053,"4,980"
10532,"4,968"
12084,"4,959"
14505,"4,925"
12887,"4,919"
11804,"4,916"
14572,"4,910"
12446,"4,902"
10576,"4,891"
12883,"4,885"
14871,"4,879"
13733,"4,861"
11952,"4,841"
12522,"4,833"
11715,"4,832"
10560,"4,825"
13605,"4,816"
12143,"4,800"
12946,"4,790"
14510,"4,772"
12545,"4,750"
14787,"4,739"
14036,"4,729"
11568,"4,704"
14883,"4,670"
12845,"4,647"
14423,"4,631"
12053,"4,621"
14546,"4,608"
11942 and 11514,"4,597"
14105,"4,570"
13452,"4,553"
14136,"4,551"
12992,"4,517"
13140,"4,509"
12871,"4,492"
14750,"4,483"
14512,"4,446"
12037,"4,444"
10464 and 12580,"4,434"
12885,"4,432"
13862,"4,429"
12148,"4,414"
14532,"4,389"
13082,"4,380"
10916,"4,361"
12594,"4,357"
14737,"4,351"
14433,"4,350"
13849,"4,334"
13329,"4,330"
13811 and 12122,"4,313"
13838,"4,284"
13460,"4,279"
10963,"4,276"
12816,"4,269"
14541,"4,255"
14802,"4,251"
13803,"4,240"
12157,"4,228"
10524,"4,227"
14891,"4,210"
12134,"4,186"
12833,"4,182"
14080,"4,158"
11944,"4,121"
14772,"4,108"
12944,"4,100"
13074,"4,078"
14882,"4,072"
"13030, 10928, and 13637","4,057"
13634,"4,049"
13602,"4,007"
14485,"3,989"
14042,"3,966"
13456,"3,962"
12790,"3,956"
13317,"3,954"
13833,"3,947"
13354,"3,944"
12929,"3,916"
10921,"3,911"
12758,"3,908"
10925,"3,878"
14733,"3,844"
11796,"3,826"
10548,"3,817"
12027,"3,815"
13033,"3,801"
11955,"3,785"
13748,"3,779"
13408,"3,775"
11732 and 14548,"3,764"
12083,"3,760"
13131 and 13476,"3,736"
13084,"3,734"
14125,"3,733"
12865,"3,688"
12827,"3,665"
11954,"3,655"
12526,"3,639"
13491,"3,617"
11719,"3,604"
13743,"3,576"
14823,"3,561"
11697,"3,540"
14416,"3,528"
13439,"3,518"
13116,"3,504"
13787,"3,502"
12809,"3,493"
12487,"3,483"
14202,"3,474"
10926,"3,467"
10006,"3,454"
12449,"3,433"
13655,"3,431"
14719 and 13795,"3,424"
13480,"3,398"
13132,"3,397"
12543,"3,395"
12443,"3,378"
12196,"3,371"
14812,"3,366"
10958,"3,365"
14543,"3,360"
11749,"3,345"
10987,"3,342"
14111,"3,337"
13080,"3,329"
12531,"3,323"
13417,"3,317"
13471,"3,313"
12404,"3,306"
12138,"3,300"
14757,"3,298"
13668,"3,291"
14710,"3,268"
13438,"3,253"
14062,"3,248"
14738,"3,247"
12846,"3,243"
13754,"3,233"
14025,"3,223"
13167,"3,215"
12850,"3,204"
11935,"3,199"
13825,"3,193"
13411,"3,189"
14821,"3,186"
14712,"3,178"
10974,"3,175"
11724,"3,160"
10998,"3,157"
14081,"3,130"
12919,"3,121"
13667,"3,118"
13656,"3,108"
13308,"3,106"
12117,"3,094"
12068,"3,083"
14755,"3,080"
11718,"3,069"
14517,"3,063"
11978,"3,058"
13461,"3,031"
10004,"3,028"
14561,"3,021"
12015,"3,006"
14865,"2,981"
14172,"2,978"
11548,"2,963"
11794,"2,952"
12567,"2,951"
12520,"2,947"
14807,"2,946"
13332,"2,939"
14735,"2,931"
12514 and 14098,"2,905"
11549,"2,901"
12547,"2,899"
12074,"2,895"
12072,"2,884"
13691,"2,878"
12525,"2,858"
12075,"2,850"
14715,"2,840"
12413 and 12546,"2,815"
13060,"2,809"
10588,"2,808"
12154,"2,807"
12458,"2,804"
14034,"2,800"
10984,"2,780"
14770,"2,777"
12821,"2,766"
13478,"2,760"
14435,"2,750"
14716 and 14739,"2,746"
12056,"2,743"
12167,"2,737"
12529,"2,730"
13654,"2,722"
12501,"2,719"
12788,"2,717"
13606,"2,716"
14840,"2,712"
13143,"2,706"
14853,"2,690"
12966,"2,685"
13730,"2,683"
12484,"2,671"
13783,"2,665"
14471,"2,651"
13044,"2,621"
14525,"2,607"
13042,"2,604"
12183,"2,591"
13164,"2,587"
14873,"2,578"
13613,"2,574"
14817,"2,556"
12094,"2,550"
14170,"2,544"
14775,"2,530"
13685,"2,520"
13409,"2,519"
12859,"2,489"
13812,"2,482"
13092,"2,479"
13424,"2,468"
12583,"2,465"
12921,"2,464"
11977,"2,455"
14516,"2,454"
14139,"2,438"
14782,"2,435"
13040,"2,434"
12106,"2,427"
13459,"2,405"
12466,"2,402"
14847,"2,395"
12149,"2,388"
13324,"2,382"
14012,"2,379"
10968,"2,363"
12958,"2,362"
14724,"2,361"
14627,"2,360"
14521 and 10976,"2,357"
13146,"2,354"
13416,"2,346"
13622,"2,344"
12920,"2,339"
14422,"2,333"
12835,"2,328"
14813,"2,325"
13612,"2,322"
13076,"2,314"
12581,"2,313"
12981 and 13101,"2,301"
13648,"2,298"
13658,"2,288"
14809 and 13363,"2,279"
14476,"2,274"
14744,"2,268"
12185,"2,262"
13673,"2,260"
13120,"2,250"
13620 and 13626,"2,245"
14604,"2,243"
13616,"2,229"
12979,"2,223"
12776,"2,214"
12918,"2,208"
12578,"2,206"
14747,"2,201"
13495,"2,197"
13797,"2,194"
12926,"2,192"
14040,"2,179"
12748,"2,160"
10511,"2,158"
11509 and 13736,"2,153"
14767,"2,146"
14560,"2,142"
12023,"2,134"
14818,"2,129"
10973,"2,123"
12817 and 12912,"2,119"
13425,"2,113"
10537,"2,106"
13320,"2,102"
12173,"2,100"
13843,"2,099"
12780,"2,097"
14879,"2,090"
14781,"2,089"
12996,"2,079"
13083,"2,069"
13327 and 12916,"2,056"
13160,"2,055"
11964,"2,054"
12168,"2,053"
12937,"2,045"
14427,"2,044"
13110,"2,038"
12057,"2,036"
13646,"2,030"
12575 and 13734,"2,028"
14544,"2,026"
12197,"2,023"
14533,"2,021"
14806,"2,015"
12910 and 14138,"2,006"
11941,"2,004"
"14826, 13746, and 12759","2,000"
12440,"1,999"
11976,"1,996"
12747 and 12783,"1,992"
13679,"1,989"
13063 and 14718,"1,988"
13034,"1,987"
13144 and 12775,"1,986"
14005,"1,973"
12577 and 14101,"1,972"
12779,"1,959"
12740,"1,958"
14171,"1,956"
12192,"1,954"
12789,"1,952"
14058,"1,951"
14898,"1,950"
14711,"1,915"
12957,"1,899"
13156 and 13697,"1,896"
14504,"1,873"
13625,"1,863"
12070,"1,860"
12928,"1,858"
10917,"1,855"
12977,"1,849"
13433,"1,844"
13112,"1,843"
14814,"1,833"
14726,"1,829"
12193,"1,828"
14741 and 12155,"1,809"
13493,"1,792"
10986 and 12729,"1,791"
14838,"1,786"
14145,"1,785"
12066,"1,784"
12737,"1,782"
14743,"1,780"
14030,"1,775"
13402,"1,774"
13431,"1,773"
13343,"1,772"
13775,"1,769"
14065,"1,763"
12137,"1,762"
